destination,name,area,subarea,boulder,grade,stars,FA,FA_year,style_icon_1,style_icon_2,style_icon_3,style_icon_4,description
Squamish,The Fuzziest Fury,Grand Wall,Campground Boulders,The Fuzz,V7,2,Scott Williams & Jesse Taplin,2012,reachy,crimpy,sit-start,,Start on The Fuzz. After the big left-hand move to the slopey rail reach right to the crimp on The Fury and finish for that problem.
Squamish,Van Number Five,Grand Wall,Campground Boulders,The Fuzz,V8,2,Axel Perschmann,2010,sit-start,,,,Yet another option exists! Start on the fat sidepull as for The Furry but fire up and right to a slopey gaston (the second hold of The Fuzz). Battle your way up the wall above just left of the arête.
Squamish,Tips Crack,Grand Wall,Campground Boulders,Tips Crack,V6,4,,,sit-start,,,,Hike right from the base of The Fuzz and cross a small creek to find this striking boulder. Start seated and jam the obvious crack that splits the rounded face. It's a true tips splitter| which is surprisingly rare.
Squamish,The Angry Inchworm,Grand Wall,Campground Boulders,The Angry Inchworm,V4,3,Shelton Hatfield,2014,sit-start,,,,Start seated and jam the beautiful overhanging wide crack on the left side of the face. If you choose to bear-hug the arête on the left it reduces the grade and purity of this unique problem.
Squamish,The Well,Grand Wall,Campground Boulders,The Well,V6,4,Matt Maddaloni,2003,powerful,,,,This boulder is partially in the creek| but the climb faces uphill. From the forest side| step into a low alcove and start from a mid-roof jug. Excellent climbing leads to the top. A good option on a hot day
Squamish,The Well Low,Grand Wall,Campground Boulders,The Well,V10,4,Tristan Salson,2019,steep,powerful,sit-start,,Start seated down and left using a lip sloper and an opposing roof hold. Make a big cross to the mid-roof jug and up from there. Worth the hike!
Squamish,Squish á Gauche,Grand Wall,Titanic South,Squish á Gauche,V0,1,Annie Tasaka,1999,sit-start,,,,Start seated under the west face matched on a small shelf just shy of the lip. Follow edges leftward around the corner and top out just left of the arête
Squamish,Squishy Low,Grand Wall,Titanic South,Squish á Gauche,V0,1,,,sit-start,,,,Start lying down matched on a smooth basalt shelf. Use a right heel-hook to lift yourself off the dirt and then punch up huge jugs. Not bad for a super lowball.
Squamish,The Little One,Grand Wall,Titanic South,Squish á Gauche,V0+,2,Dave Ferguson & Scott Norris,2001,sit-start,,,,Start seated matched on a diagonal shelf on the east side of the boulder. Follow crimps rightward through the overhang until it's possible to move up to a rounded basalt jug horn on the lip. Topping out directly above the initial shelf is a fun V0.
Squamish,Shralpster,Grand Wall,Titanic South,Shralpster,V2,0,Tyrone Brett,1997,,,,,Start on the sunken face using sharp| X-shaped edges. Smear on crystals and fire to the top.
Squamish,Gravitational Pull,Grand Wall,Titanic South,Gravitational Pull,V1,1,Pam Bourdon,1999,,,,,Using edges in the middle of the face| paste your feet and chuck for the top. Short!
Squamish,Moss Candidate,Grand Wall,Titanic South,Moss Candidate,V2,2,Tyrone Brett,1997,,,,,Start on slopers on the low| right-hand end of the lip and do a semi-footless leftward traverse. Top out wherever it feels most comfortable.
Squamish,Crumbly,Grand Wall,Titanic South,Crumbly,V3,1,,,,,,,Start on the sloping nose of the overhanging prow with a heel-hook out right. Fire left to an incut and finish up the crumbly prow.
Squamish,The Cobbles,Grand Wall,Titanic South,The Cobbles,V2,2,Nick Gibbs,1996,,,,,Start with low edges and move through cobbled rock to the top. Interesting stone.
Squamish,Sea to Slab,Grand Wall,Titanic South,Sea to Slab,V7,4,Nic Lussier,2008,dangerous,,,,Start with one hand over the lip and one underneath the roof. A crazy throw and tricky mantel gain a tall| committing slab. This is a great highball with a good landing that's close to the parking lot. It's easy to shuttle pads to| which is helpful since you'll need plenty.
Squamish,Blueberry Crumble,Grand Wall,Titanic South,The Crumbles,V1,1,Ryan Davy & Nic Lussier,2007,slabby,sit-start,,,Start seated using a low| rounded hold on the right arête. Pull to a sharp edge and up.
Squamish,Apple Crumble,Grand Wall,Titanic South,The Crumbles,V2,0,,,reachy,slabby,,,Tackle the face just right of centre.
Squamish,Peach Crumble,Grand Wall,Titanic South,The Crumbles,V1,0,Ryan Davy & Nic Lussier,2007,slabby,,,,The arête on the left.
Squamish,Timeless,Grand Wall,Titanic South,Timeless,V5,5,Jack Fieldhouse,2002,powerful,,,,This excellent line starts matched on the right-hand end of the Everyday Helmet shelf. Using a left heel-hook| move right and crank up great holds with the tree at your back. The crux is the snatch to the upper lip| which is a tad engaging if you don't have a spotter. There used to be a large log wedged between the upper part of this boulder and the tree| which forced the sequence more to the right. This version is much better.
Squamish,Timeless Low,Grand Wall,Titanic South,Timeless,V7,4,Miles Adamon,2011,reachy,powerful,sit-start,,Start sitting backwards on the boulder underneath Timeless with your left hand on a sharp flap and your right on a slopey rail. Toe-hook the starting shelf on Timeless| pull off the ground and prepare for a massive bat-hang swing while moving toward the lip. If you make it| finish up Timeless. Being tall makes this problem easier. Linking into Everyday Helmet is also V7.
Squamish,Timeless Low Low,Grand Wall,Titanic South,Timeless,V8,3,Eli Dusenbury,2013,reachy,powerful,sit-start,,Just below the Timeless Low holds is a roof jug. Start here and make two powerful moves into Timeless Low and finish for that problem. If you like roof climbing and toehooks| you'll have fun on this one
Squamish,Everyday Helmet,Grand Wall,Titanic South,Timeless,V5,4,Andrew Boyd,2006,,,,,Start on the big shelf and execute a truly demanding mantel. So simple| yet so hard!
Squamish,Chickens Flying North,Grand Wall,Titanic South,Sea to Slab,V1,0,Jack Fieldhouse,2009,dangerous,,,,Start on an undercling rail just left of Chickens Don’t Fly and traverse into Sea to Slab.
Squamish,Chickens Don't Fly,Grand Wall,Titanic South,Sea to Slab,V3,0,Jack Fieldhouse,2009,dangerous,,,,Start on a small right edge. Use foot smears to move to the arête and up. This problem has a tiered landing and a fall could have serious consequences.
Squamish,The Patriarchy,Grand Wall,Titanic South,The Patriarchy,V2,3,Stu Worrall,1996,dangerous,,,,This highball starts with positive holds in a shallow corner. Climb up and left with fast-building exposure as you move out above the tunnel entrance. A nerve-wracking highball of good quality.
Squamish,Seismic,Grand Wall,Titanic South,Seismic,V7,1,Jack Fieldhouse,1999,slopey,,,,Start on the low shelf and traverse left around the corner. Technical heel-hooks and crimpy slopers lead to the finish on Kitty Litter. High in the grade
Squamish,Kitty Litter,Grand Wall,Titanic South,Seismic,V1,1,Pam Bourdon,1999,,,,,Start with a low left arête hold and a semi-broken incut right crimp. Slap up the rounded prow until it's possible to roll up on the left. The name's a nod to the rock quality| which has improved over time.
Squamish,Stoke Up,Grand Wall,Titanic South,Stoke Up,V1,2,Tyrone Brett,1997,,,,,Climb the short| downhill-facing arête by starting on slopers around 2 m. A V2 crouch start using a lower arête hold and a positive left flake very deep in the overhang adds a couple of cool moves.
Squamish,The Pawn,Grand Wall,Titanic South,Stoke Up,V2,3,Ryan Davy,2010,sit-start,,,,Start seated compressing a left-hand sloper and a low right pinch| a very interesting feature. Using a right foot flake just above the dirt and a left heel-hook in the hole| slap to lip slopers and a tricky roll. Fun!
Squamish,The Backside,Grand Wall,Titanic South,The Patriarchy,V4,2,,,crimpy,technical             ,,,Start crouching using a pancake-shaped fingertip flake. Climb directly up the slabby face.
Squamish,Razorburn,Grand Wall,Titanic South,Razorburn,V4,4,Nick Gibbs,1996,crimpy,technical             ,,,Start with a left crimp around 1.75 m and a right crimp or thin sidepull. Tiny footholds and jagged edges gain a positive dyke hold and the top. This line is crazy sharp so wait for cold conditions! If you have any skin left| a good seated start using opposing sidepulls| Razorburn Low| pumps the grade slightly to V5.
Squamish,Font Funk,Grand Wall,Titanic South,Razorburn,V4,2,Tyrone Brett,2001,,,,,Climb the arête from a standing start using a right pinch to pull off the ground.
Squamish,Hec's Arête,Grand Wall,Titanic South,Razorburn,V7,3,Chris Hecimovic,1998,slopey,sit-start,,,Start seated using obvious slopers on the south nose of the boulder. Slap left to the sharp arête and drag your body up and onto the face. Thrutchy.
Squamish,Aftershave,Grand Wall,Titanic South,Razorburn,V0+,2,,,,,,,Start standing just right of the nose of the boulder with your right hand on a smooth dyke edge at 2 m and your left pinching a sloper.
Squamish,Time Isn't Holding Us,Grand Wall,Titanic South,Razorburn,V6,2,Kevan Robitaille,2016,slopey,sit-start,,,Start seated matched on the slopey lip just left of a very shallow seam. Use a foot rail under the boulder to establish a high right heel-hook before working leftward up the lip into It’s About Time.
Squamish,It's About Time,Grand Wall,Titanic South,Razorburn,V5,4,Tyler Jordan,1999,powerful,sit-start,,,Start seated matched on a sloping shelf in the overhang. Use a toe or heel-hook on the arête to pull on and slap to the arête. Wrestle upward using body English. A classic that's both powerful and technical.
Squamish,One Move Blunder,Grand Wall,Titanic South,Razorburn,V4,2,Jack Fieldhouse,2004,,,,,Start matched on an obvious undercling edge. Pull on| get established and then gun for the lip and a fun mantel. Harder than it looks.
Squamish,Time Arête,Grand Wall,Titanic South,Razorburn,V1,3,Jack Fieldhouse & B. Goldstone,1999,sit-start,,,,Start seated using an incut horn and move up the arête on very nice holds.
Squamish,Blunder Time,Grand Wall,Titanic South,Razorburn,V4,3,Ryan Davy,2009,sit-start,,`,,A variation| Blunder Time (V4)| links along the sloping lip into the top of One Move Blunder
Squamish,Mr. Jeremy Fisher,Grand Wall,Titanic South,Mr. Jeremy Fisher,V2,2,Marc Bourdon,2006,sit-start,,,,"Start seated in a pit| matched on a good edge rail and climb up and right to a tricky mantel. Named for a small frog that almost ""bought the farm"" during the cleaning of this problem."
Squamish,Flipper,Grand Wall,Titanic South,Flipper,V3,3,Marc Bourdon,2006,,,,,Start matched on a positive pinch grip and smear your left foot at the base of the fin where it meets the other boulder. Follow the fin up and right. Don't be surprised if it feels tricky for the grade!
Squamish,Bipolar Slab,Grand Wall,Titanic South,Sniper,V3,2,Dan Gable,2001,slabby,dangerous,,,Start on the steep wall then roll up onto the face for an exciting finish!
Squamish,Sharpshooter,Grand Wall,Titanic South,Sniper,V4,0,Tim Doyle,2007,crimpy,dynamic,,,Stand on the rock and reach to a left-hand sidepull (just right of the Sniper edge) and a right-hand dyke hold. Fire for the lip. A low start might go...
Squamish,Sniper,Grand Wall,Titanic South,Sniper,V5,3,Tyrone Brett,2000,pockety,reachy,crimpy,powerful,Start with your left hand in a mono pocket at 2 m and your right hand on a higher edge. Paste your feet| fire to another pocket high on the face and up. Need I say that pockets in Squamish granite are rare?
Squamish,Bulbous Maximus,Grand Wall,Titanic South,Sniper,V7,2,Curtis Suave,2002,slopey,sit-start,,,Start seated palming slopers and struggle onto the slab with great difficulty.
Squamish,Hairy Piranha,Grand Wall,Titanic South,Hairy Piranha,V2,2,Tyrone Brett,2000,,,,,Stand with your left hand palming the arête and climb the right side. Good barn-door action!
Squamish,Vanilla Meow,Grand Wall,Titanic South,Ty's Arête,V0,1,Pam Bourdon,2002,,,,,Just left of the tree is a smooth face. Start matched on a thin rail and move to jugs. Named for a special meow reserved for Häagen-Dazs ice cream.
Squamish,Ty's Arête,Grand Wall,Titanic South,Ty's Arête,V0+,3,Tyrone Brett,2000,,,,,Start with your right hand on the arête and your left on a good knob behind the big tree. Climb up and slightly left to a slightly high finish.
Squamish,Architecture,Grand Wall,Titanic South,Architecture,V1,4,Jack Fieldhouse & Jason Jackson & Dain Smoland,2000,,,,,Start with your left hand on a crimper and your right pinching the curving arête feature at 2.5 m. Great moves!
Squamish,World Animals,Grand Wall,Titanic South,Holier Than Thou,V0,2,Marc Bourdon & Pam Bourdon,2006,slabby,,,,Edge up the slab.
Squamish,Holier Than Thou,Grand Wall,Titanic South,Holier Than Thou,V1,4,Marc Bourdon & Pam Bourdon,2006,sit-start,,,,Start seated using an edge on the slab wall for your left hand and a pistol grip on the arête for your right. Fire to the top and finish by using a unique pocket to rock onto the left face.
Squamish,Tarnation,Grand Wall,Titanic South,Holier Than Thou,V0,1,Marc Bourdon,2006,,,,,Start matched on a scooped edge on the face's left side. Crank right to the lip and mantel.
Squamish,Sequoia,Grand Wall,Titanic South,Frequency Modulation,V4,3,,,reachy,crimpy,,,Start seated using good incut crimpers just right of the big tree. Fire left to a good edge behind the tree and then make a big move up and right to an edge rail and mantel. Dabbing the tree is almost unavoidable.
Squamish,Timber,Grand Wall,Titanic South,Frequency Modulation,V5,1,Tim Catcher,2010,reachy,crimpy,,,Start in a cave formed by two boulders to the left of Sequoia's tree. Match on a good ledge and squeeze right past the tree and into Sequoia. Dabby!
Squamish,Frequency Modulation,Grand Wall,Titanic South,Frequency Modulation,V4,3,Jack Fieldhouse & Jason Jackson & Dain Smoland,2000,slopey,,,,Start seated using a sloping fin. Traverse left into Sequoia.
Squamish,Death Cookies,Grand Wall,Titanic South,Ty's Arête,V3,1,Scott Tasaka,2001,,,,,Start on a sharp edge rail on the downhill face. Pull up right to slopers and finish by cranking off a creaking| cookie-like plate. Spotters beware.
Squamish,Dirty Poo-Poo Pants,Grand Wall,Titanic South,Architecture,V3,2,Ryan Davy,2008,sit-start,,,,Start seated right of the small cave with your left hand on a sloping shelf in the overhang and your right on a good arête hold. Paste your feet and slap leftward to a diagonal edge over the lip. Short but fun.
Squamish,Slab 101,Grand Wall,Titanic South,Frequency Modulation,V0,2,Marc Bourdon,2006,slabby,,,,Climb the slab right of the start of Frequency Modulation. Don't start off the rock. Start in the small depression to the left for the V0 grade.
Squamish,Low Rider,Grand Wall,Titanic North,Titanic,V3,2,Jack Fieldhouse,1999,sit-start,,,,Start seated out right. Use heel-hooks to traverse to the peak of the boulder and mantel.
Squamish,Depth Charge,Grand Wall,Titanic North,Titanic,V6,2,Tyrone Brett,2000,slopey,sit-start,,,This short| tricky problem starts seated matched on a lip pinch near the bottom of the rail. Traverse right using very technical heel-hooks to a cool jump move finish. Solid for the grade – wait for good conditions
Squamish,Dumb Slab,Grand Wall,Titanic North,Titanic,V0+,2,Tyrone Brett,1997,slabby,,,,There are a few options for climbing this short slab| all of which are tricky. It's very fun| especially for novices. The name does it a disservice.
Squamish,Jer's Extension,Grand Wall,Titanic North,Titanic,V4,3,Jeremy Blumel,1997,pumpy,sit-start,,,Start right of the prow using crimps in the seam. Hit the slopers on the prow and traverse the lip all the way left to Titanic and mantel. Very pumpy.
Squamish,The Cricket,Grand Wall,Titanic North,Titanic,V5,3,,,sit-start,,,,Start as for The Mantis| but throw right to crimpers and traverse right to finish.
Squamish,The Mantis,Grand Wall,Titanic North,Titanic,V4,4,Devon Gerard,1998,slopey,sit-start,,,Start seated using hidden underclings under the nose of the boulder. Make a burly pull off the ground followed by a huge slap to slopers on the prow and a mantel finish slightly to the left. A mantis is a large grasshopper-like insect that feeds on other insects.
Squamish,Tweak Freak,Grand Wall,Titanic North,Titanic,V3,2,Tyrone Brett,1998,crimpy,sit-start,,,Between Twister and The Mantis are some prominent low crimps. Start seated using these edges| fire left to a small edge and then right to the top.
Squamish,Twister,Grand Wall,Titanic North,Titanic,V1,3,Stu Worrall,1996,,,,,Climb the featured dyke left of The Mantis. Start on the big positive dyke hold and up. A seated start is possible| but it doesn't change the grade much.
Squamish,Titanic,Grand Wall,Titanic North,Titanic,V3,5,Nick Gibbs,1996,crimpy,,,,Punch up the short arête on the left-hand prow of the boulder. Start crimping opposing sidepulls| gun for a diagonal hold below the lip and then pop! If this seems too complicated| simply jump to the upper lip from the start. Take V4 if you do! Extremely popular.
Squamish,John Rocker,Grand Wall,Titanic North,Titanic,V6,2,Andrew Pacey,1999,crimpy,sit-start,,,Start seated beneath the Titanic holds using a slopey left crimp and a right sidepull. Heel-hook to get your right hand to a gaston (the left hold for the Titanic start) and then push for the top. Sharp!
Squamish,Stu's Dyke,Grand Wall,Titanic North,Subzero,V0,3,Stu Worrall,1996,sit-start,,,,Start seated matched on a flat shelf and then work through positive holds in the wide dyke feature. A great little warm-up climb.
Squamish,Subzero,Grand Wall,Titanic North,Subzero,V0-,1,Ryan Davy,2008,sit-start,,,,Start seated on a small block matched on edges or a sloping shelf. Short and easy.
Squamish,Tumbleweed,Grand Wall,Titanic North,Tumbleweed,V2,3,Tyrone Brett,1997,sit-start,,,,Start seated using a left arête hold and a right edge under the roof. Burly slaps lead through the bulge. This problem is harder than it looks.
Squamish,Moana,Grand Wall,Titanic North,Tumbleweed,V0,1,Marc Bourdon & Pam Bourdon,2006,sit-start,,,,Start with a good jug hold on the left side of the face. Paste your feet| pull to the lip and mantel. A very short problem| indeed.
Squamish,The Telltale Heart,Grand Wall,Titanic North,The Telltale Heart,V0,2,Trent Hoover,2000,sit-start,,,,Start seated just right of the arête using holds in the dyke. A bit awkward to start and finish.
Squamish,Big Bottoms,Grand Wall,Titanic North,The Telltale Heart,V2,3,Jack Fieldhouse & Scott Milton,2006,sit-start,,,,Start seated matched on a large hold at 1 m. Stack pads if you can't reach the first hold and prepare for a tough first move!
Squamish,Steppin' Out,Grand Wall,Titanic North,Snake Hips,V0-,2,Steve Springer & Jill Sutton,2000,slabby,,,,Step off a small boulder and climb the right side of the easy slab.
Squamish,Snake Hips,Grand Wall,Titanic North,Snake Hips,V3,2,Trent Hoover,2000,sit-start,,,,Start at the lowest point of the diagonal basalt dyke with a low left sloper and a brick-like basalt pinch for your right hand. Traverse right along the lip and then roll onto the slab. A bit awkward and dabby.
Squamish,Mushu Pork,Grand Wall,Titanic North,Snake Hips,V5,1,Trent Hoover,2000,sit-start,,,,Start as for Snake Hips| but immediately fire out left to a small bump on the face. Heel-hook right and haul up to slopers in a dish| finishing to the left.
Squamish,The Ice Cube,Grand Wall,Titanic North,Iceberg,V0,3,Dan Gable,2000,,,,,Start on a left-leaning diagonal rail.
Squamish,Iceberg Right,Grand Wall,Titanic North,Iceberg,V0,2,Dan Gable,2000,slabby,,,,Start on an L-shaped hold on the right. Delicate climbing leads to a bomber finish.
Squamish,Iceberg Centre,Grand Wall,Titanic North,Iceberg,V0+,2,Dan Gable,2000,slabby,,,,Start just right of centre on a jagged edge feature. Highstep the lip of the slab and up. Good!
Squamish,Ice Fall,Grand Wall,Titanic North,Iceberg,V7,0,Scott Milton & Jack Fieldhouse,2008,slabby,,,,Climb the steep slab. Start with a low right crimp and go directly up.
Squamish,Iceberg Arête,Grand Wall,Titanic North,Iceberg,V1,1,Dan Gable & Shelley Hoover,2000,slabby,,,,Grab the left arête and climb it| trying to avoid a barndoor swing.
Squamish,Trap Door,Grand Wall,Titanic North,Trap Door,V4,4,Tyrone Brett,2000,slopey,,,,Start this fun problem in a pit with your right hand on the arête and your left using a low pinch. Smear your feet and fire up the arête to the top. Prepare for a slightly spicy and slopey topout.
Squamish,New School,Grand Wall,Titanic North,Trap Door,V2,2,Curtis Suave,2006,sit-start,,,,Start seated using a left arête hold and a right slopey sidepull and slap up the sides of the boulder. Both the start and the finish are challenging.
Squamish,Gable Table,Grand Wall,Titanic North,Gable  Table,V3,0,Dan Gable,2002,dynamic,dangerous,,,Jump to the lip of the hanging boulder and finish with an exposed roll. Needs a scrub.
Squamish,Dub Club,Grand Wall,Titanic North,Dub Club,V3,2,Kevin Zanatta,2005,sit-start,,,,Step into a small alcove formed where three boulders intersect. Start seated matched on a low ledge hold. Heel-hook| reach left to a sidepull and mantel.
Squamish,On Deck,Grand Wall,Titanic North,On Deck,V1,2,,,sit-start,,,,This fun problem starts matched on a good| small ledge in the overhang. Make a quick move to the lip and finish by traversing around the corner to the left.
Squamish,Deep,Grand Wall,Titanic North,Deep,V1,2,,,sit-start,,,,Start seated matched on a fat rail and wrestle up and left onto the arête.
Squamish,The Three Amigos,Grand Wall,Titanic North,The Three Amigos,V1,1,Curtis Suave,2002,,,,,Climb the short face in the depression below Mantra. Start with a left-facing sidepull.
Squamish,Chemistry,Grand Wall,Titanic North,Mantra,V8,2,Jim Sandford,2003,crimpy,,,,Start on high crimps just left of Mantra. Crank upwards on sharp edges and roll over the top. Boils down to one hard move on very sharp holds.
Squamish,Mantra,Grand Wall,Titanic North,Mantra,V8,5,Trent Hoover,2000,slopey,powerful,,,Start this excellent| must-do problem using obvious basalt and granite block holds. Big moves lead up left along the prow. A mantra is a Hindu or Buddhist mystical formula of incantation (chanting).
Squamish,Black Hole Sun,Grand Wall,Titanic North,Mantra,V2,3,Trent Hoover,2000,,,,,Start on the same block hold. Climb the thin dyke to the lip and then step left to mantel.
Squamish,Hot Water Bottle,Grand Wall,Titanic North,Mantra,V0,1,Steve Springer,2000,,,,,Start at the arête that forms the left edge of the cave entrance. Traverse left and mantel.
Squamish,The Birth Canal,Grand Wall,Titanic North,Mantra,V0+,3,Shelley Hoover,2000,,,,,Walk into the small| dark cave behind Mantra and look back over your left shoulder for another exit. Squirt out the slot to exit above Hot Water Bottle and finish by traversing left. A novelty problem – Squamish's version of Hueco's Birth Simulator!
Squamish,C-section,Grand Wall,Titanic North,C-section,V1,1,,,,,,,Start low using a good crack hold on the right arête. Fire to a small edge on the lip and up.
